tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency
4350000,200,200,200,2994.5742574257424,3562.1608040201004,0.5594059405940595,1,Infinity,Infinity,-1,0.28,-1,200,0,1,156772.039,-1,-1,-1,109429.61946902655,109429.61946902655,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.942028985507
4400000,200,200,200,2982,3628.741293532338,0.53,1,Infinity,Infinity,-1,0.29,-1,200,0,1,154366.835,-1,-1,-1,131689.28301886792,131689.28301886792,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.985294117647,3504.8548387096776
4450000,200,200,200,2999.4747474747473,3717.875,0.5757575757575758,1,Infinity,Infinity,-1,0.295,-1,200,0,1,155707.7,-1,-1,-1,121416.92105263157,121416.92105263157,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9830508474574,3504.927536231884
4500000,200,200,200,2977.2475247524753,3681.6091370558374,0.5792079207920792,1,Infinity,Infinity,-1,0.27,-1,200,0,1,157400.491,-1,-1,-1,123754.57264957266,123754.57264957266,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9864864864867,3504.864406779661
4550000,200,200,200,3072,3687.5643564356437,0.615,1,Infinity,Infinity,-1,0.28,-1,200,0,1,157414.285,-1,-1,-1,121153.37398373983,121153.37398373983,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.975,3504.9054054054054
4600000,200,200,200,3029.638190954774,3732.6767676767677,0.5829145728643216,1,Infinity,Infinity,-1,0.32,-1,200,0,1,159540.14,-1,-1,-1,132727.49137931035,132727.49137931035,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8888888888887
4650000,200,200,200,2952.2487562189053,3734.7064676616915,0.572139303482587,1,Infinity,Infinity,-1,0.29,-1,200,0,1,161097.335,-1,-1,-1,106851.67826086956,106851.67826086956,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.839285714286
4700000,200,200,200,3017.151515151515,3749.6965174129355,0.5454545454545454,1,Infinity,Infinity,-1,0.28,-1,200,0,1,158455.771,-1,-1,-1,129348.23148148147,129348.23148148147,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9857142857145,3504.9701492537315
4750000,200,200,200,2989.5621890547263,3823.716417910448,0.5572139303482587,1,Infinity,Infinity,-1,0.335,-1,200,0,1,158430.626,-1,-1,-1,123986.5625,123986.5625,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.983870967742,3504.865671641791
4800000,200,200,200,3017,3813.9396984924624,0.61,1,Infinity,Infinity,-1,0.28,-1,200,0,1,157948.033,-1,-1,-1,152717.72950819673,152717.72950819673,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9583333333335,3504.9701492537315
4850000,200,200,200,2969.6616915422887,3796.311557788945,0.5771144278606966,1,Infinity,Infinity,-1,0.315,-1,200,0,1,155819.245,-1,-1,-1,145289.4827586207,145289.4827586207,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9655172413795,3504.892307692308
4900000,200,200,200,2981.899497487437,3841.4,0.6030150753768844,1,Infinity,Infinity,-1,0.305,-1,200,0,1,156690.443,-1,-1,-1,137622.34166666667,137622.34166666667,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9824561403507,3504.910447761194
4950000,200,200,200,3037,3902.395,0.52,1,Infinity,Infinity,-1,0.295,-1,200,0,1,154780.046,-1,-1,-1,154561.23076923078,154561.23076923078,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9189189189187
5000000,200,200,200,3019.5879396984924,3998.925,0.5778894472361809,1,Infinity,Infinity,-1,0.285,-1,200,0,1,156711.989,-1,-1,-1,135174.26086956522,135174.26086956522,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.972222222222,3504.9253731343283
5050000,200,200,200,3034.5,4008.391959798995,0.555,1,Infinity,Infinity,-1,0.305,-1,200,0,1,157958.639,-1,-1,-1,144978.9099099099,144978.9099099099,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9473684210525
5100000,200,200,200,3056.4554455445545,4016.313432835821,0.5544554455445545,1,Infinity,Infinity,-1,0.275,-1,200,0,1,158699.785,-1,-1,-1,143809.32142857142,143809.32142857142,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9625
5150000,200,200,200,2999.4874371859296,4025.42,0.6030150753768844,1,Infinity,Infinity,-1,0.285,-1,200,0,1,157983.282,-1,-1,-1,158109.375,158109.375,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.934426229508
5200000,200,200,200,3002,4075.3065326633164,0.5477386934673367,1,Infinity,Infinity,-1,0.275,-1,200,0,1,159512.025,-1,-1,-1,139044.15596330276,139044.15596330276,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.934210526316
5250000,200,200,200,2917.841584158416,4087.925,0.6039603960396039,1,Infinity,Infinity,-1,0.275,-1,200,0,1,158163.929,-1,-1,-1,176364.87704918033,176364.87704918033,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8823529411766
5300000,200,200,200,3007.050505050505,4071.10447761194,0.4595959595959596,1,Infinity,Infinity,-1,0.27,-1,200,0,1,154747.613,-1,-1,-1,138785.2967032967,138785.2967032967,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.939393939394
5350000,200,200,200,3011.950248756219,4132.56783919598,0.4925373134328358,1,Infinity,Infinity,-1,0.285,-1,200,0,1,155160.86,-1,-1,-1,143638.19191919192,143638.19191919192,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9850746268658,3504.9710144927535
5400000,200,200,200,2999.5,4155.405,0.485,1,Infinity,Infinity,-1,0.285,-1,200,0,1,151578.512,-1,-1,-1,175960.1030927835,175960.1030927835,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.942857142857
5450000,200,200,200,3017.075376884422,4189.85,0.507537688442211,1,Infinity,Infinity,-1,0.325,-1,200,0,1,151601.565,-1,-1,-1,151365.64356435643,151365.64356435643,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9285714285716
5500000,200,200,200,2992.09900990099,4142.345,0.4801980198019802,1,Infinity,Infinity,-1,0.32,-1,200,0,1,152820.93,-1,-1,-1,137734.80412371134,137734.80412371134,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.967741935484
5550000,200,200,200,2996.974874371859,4239.84,0.5276381909547738,1,Infinity,Infinity,-1,0.33,-1,200,0,1,155001.301,-1,-1,-1,139842.9238095238,139842.9238095238,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9846153846156,3504.8636363636365
5600000,200,200,200,3036.8258706467664,4238.85,0.5323383084577115,1,Infinity,Infinity,-1,0.295,-1,200,0,1,155365.404,-1,-1,-1,158914.13084112148,158914.13084112148,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9846153846156,3504.92
5650000,200,200,200,2986.924623115578,4256.718592964824,0.5276381909547738,1,Infinity,Infinity,-1,0.25,-1,200,0,1,157004.896,-1,-1,-1,147920.66666666666,147920.66666666666,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.968253968254
5700000,200,200,200,2997.0248756218907,4311.88,0.5621890547263682,1,Infinity,Infinity,-1,0.3,-1,200,0,1,160456.544,-1,-1,-1,137481.796460177,137481.796460177,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9718309859154,3504.90625
5750000,200,200,200,2991.9497487437184,4311.365,0.5979899497487438,1,Infinity,Infinity,-1,0.315,-1,200,0,1,162602.941,-1,-1,-1,149370.88235294117,149370.88235294117,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9836065573772,3504.9701492537315
5800000,200,200,200,3036.8258706467664,4355.83,0.5074626865671642,1,Infinity,Infinity,-1,0.315,-1,200,0,1,163127.495,-1,-1,-1,129656.57843137255,129656.57843137255,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9324324324325
5850000,200,200,200,3024.613065326633,4336.045226130654,0.5276381909547738,1,Infinity,Infinity,-1,0.315,-1,200,0,1,162447,-1,-1,-1,148127.26666666666,148127.26666666666,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9054054054054
5900000,200,200,200,3022,4385.467661691542,0.525,1,Infinity,Infinity,-1,0.295,-1,200,0,1,160176.944,-1,-1,-1,156268.75238095238,156268.75238095238,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9466666666667
5950000,200,200,200,3004.5,4408.366834170854,0.505,1,Infinity,Infinity,-1,0.31,-1,200,0,1,159341.089,-1,-1,-1,143193.41584158415,143193.41584158415,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9295774647885
6000000,200,200,200,2939.5,4453.35,0.565,1,Infinity,Infinity,-1,0.3,-1,200,0,1,160230.841,-1,-1,-1,154007.5221238938,154007.5221238938,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9655172413795
6050000,200,200,200,2952,4488.875,0.535,1,Infinity,Infinity,-1,0.305,-1,200,0,1,158514.599,-1,-1,-1,153648.17757009345,153648.17757009345,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.890909090909
6100000,200,200,200,3062,4554.39,0.485,1,Infinity,Infinity,-1,0.285,-1,200,0,1,156717.643,-1,-1,-1,152773.6701030928,152773.6701030928,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9871794871797,3504.945205479452
6150000,200,200,200,2999.5,4546.91,0.52,1,Infinity,Infinity,-1,0.275,-1,200,0,1,156166.794,-1,-1,-1,151179.46153846153,151179.46153846153,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.951612903226
6200000,200,200,200,3004.5125628140704,4547.875,0.5778894472361809,1,Infinity,Infinity,-1,0.31,-1,200,0,1,158038.736,-1,-1,-1,153671.26086956522,153671.26086956522,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8688524590166
6250000,200,200,200,2984.587064676617,4519.385,0.5323383084577115,1,Infinity,Infinity,-1,0.285,-1,200,0,1,159588.137,-1,-1,-1,142430.44859813084,142430.44859813084,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.983870967742,3504.939393939394
6300000,200,200,200,3027.1256281407036,4557.46,0.507537688442211,1,Infinity,Infinity,-1,0.275,-1,200,0,1,156694.781,-1,-1,-1,168320.51485148515,168320.51485148515,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9859154929577,3504.927536231884
6350000,200,200,200,3049.029702970297,4601.95,0.5643564356435643,1,Infinity,Infinity,-1,0.27,-1,200,0,1,159802.678,-1,-1,-1,141998.09649122806,141998.09649122806,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.974025974026,3504.9583333333335
6400000,200,200,200,2951.4949494949497,4589.854271356784,0.5707070707070707,1,Infinity,Infinity,-1,0.305,-1,200,0,1,161657.522,-1,-1,-1,152156.61061946902,152156.61061946902,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9074074074074
6450000,200,200,200,3059.5,4625.6965174129355,0.53,1,Infinity,Infinity,-1,0.315,-1,200,0,1,161096.293,-1,-1,-1,147087.70754716982,147087.70754716982,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9466666666667
6500000,200,200,200,3011.90099009901,4692.975,0.5247524752475248,1,Infinity,Infinity,-1,0.26,-1,200,0,1,159933.736,-1,-1,-1,156277.46226415093,156277.46226415093,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.939393939394
6550000,200,200,200,2981.899497487437,4716.405,0.5276381909547738,1,Infinity,Infinity,-1,0.285,-1,200,0,1,159856.542,-1,-1,-1,146913.46666666667,146913.46666666667,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9850746268658,3504.935483870968
6600000,200,200,200,3009.4626865671644,4707.32,0.5024875621890548,1,Infinity,Infinity,-1,0.315,-1,200,0,1,157246.041,-1,-1,-1,168773.53465346535,168773.53465346535,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.927536231884
