,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,loadFromY,loadFromY,loadFromY,loadFromY,loadFromY,,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,
2250000,0.32663316582914576,0.605,0.6989795918367347,0.575,0.505,,200,200,431,591,469,,1,1,1.740046838407494,2.5648464163822524,2.884861407249467,,0.2413793103448276,0.5,0.6266666666666667,0.5342465753424658,0.5492957746478874,,0.24615384615384617,0.6875,0.7551020408163265,0.5714285714285714,0.45454545454545453,,0.4605263157894737,0.6451612903225806,0.7361111111111112,0.631578947368421,0.5079365079365079,
2300000,0.3316831683168317,0.635,0.6751269035532995,0.64,0.535,,200,200,425,600,475,,1,1,1.7440758293838863,2.5468227424749164,2.6442105263157893,,0.2903225806451613,0.5,0.7297297297297297,0.6176470588235294,0.5833333333333334,,0.3382352941176471,0.7142857142857143,0.5909090909090909,0.6307692307692307,0.5373134328358209,,0.3611111111111111,0.65,0.7017543859649122,0.6716417910447762,0.4931506849315068,
2350000,0.245,0.57,0.5495049504950495,0.475,0.455,,200,200,471,669,476,,1,1,1.8266384778012685,2.687218045112782,3.1407563025210083,,0.2857142857142857,0.6065573770491803,0.5303030303030303,0.36923076923076925,0.40625,,0.22641509433962265,0.5294117647058824,0.5538461538461539,0.4642857142857143,0.5147058823529411,,0.21428571428571427,0.5774647887323944,0.5633802816901409,0.569620253164557,0.4411764705882353,
2400000,0.27638190954773867,0.545,0.49504950495049505,0.5,0.485,,200,200,484,720,476,,1,1,1.8477366255144032,2.861111111111111,4.13655462184874,,0.2777777777777778,0.5072463768115942,0.49206349206349204,0.4426229508196721,0.43283582089552236,,0.23943661971830985,0.6521739130434783,0.5135135135135135,0.5166666666666667,0.5,,0.3108108108108108,0.46774193548387094,0.47692307692307695,0.5316455696202531,0.5230769230769231,
2450000,0.16,0.54,0.5380710659898477,0.485,0.495,,200,200,473,785,471,,1,1,1.8340425531914895,2.9348659003831417,4.6411889596602975,,0.1527777777777778,0.5230769230769231,0.4745762711864407,0.5,0.4,,0.11940298507462686,0.5522388059701493,0.5454545454545454,0.42424242424242425,0.5070422535211268,,0.21311475409836064,0.5441176470588235,0.5901639344262295,0.5277777777777778,0.578125,
2500000,0.1625615763546798,0.56,0.44221105527638194,0.565,0.5,,200,200,502,829,477,,1,1,1.8682634730538923,3.025485436893204,4.222222222222222,,0.18292682926829268,0.5076923076923077,0.42028985507246375,0.673469387755102,0.3698630136986301,,0.14285714285714285,0.6216216216216216,0.463768115942029,0.5064935064935064,0.5074626865671642,,0.15517241379310345,0.5409836065573771,0.4426229508196721,0.5540540540540541,0.65,
2550000,0.09137055837563451,0.565,0.3147208121827411,0.48,0.525,,200,200,525,887,466,,1,1,1.8984674329501916,3.111864406779661,5.253218884120171,,0.07462686567164178,0.589041095890411,0.3387096774193548,0.4225352112676056,0.375,,0.07462686567164178,0.5942028985507246,0.2727272727272727,0.5,0.5633802816901409,,0.12698412698412698,0.5,0.3333333333333333,0.5306122448979592,0.6666666666666666,
2600000,0.11557788944723618,0.525,0.35678391959798994,0.465,0.53,,200,200,520,915,477,,1,1,1.8901734104046244,3.138919514884234,7.566037735849057,,0.0410958904109589,0.43243243243243246,0.29411764705882354,0.5161290322580645,0.3684210526315789,,0.16666666666666666,0.5757575757575758,0.4246575342465753,0.38596491228070173,0.48717948717948717,,0.1527777777777778,0.5833333333333334,0.3448275862068966,0.48148148148148145,0.7230769230769231,
2650000,0.08,0.535,0.24378109452736318,0.555,0.55,,200,200,546,966,471,,1,1,1.9396709323583181,3.2445820433436534,8.819532908704883,,0.08823529411764706,0.43548387096774194,0.3064516129032258,0.6785714285714286,0.4520547945205479,,0.06944444444444445,0.5915492957746479,0.203125,0.45588235294117646,0.5,,0.08333333333333333,0.5671641791044776,0.22666666666666666,0.5526315789473685,0.7755102040816326,
2700000,0.07425742574257425,0.48,0.205,0.61,0.475,,200,200,561,1020,476,,1,1,1.9590017825311943,3.30460333006856,8.682773109243698,,0.06557377049180328,0.5223880597014925,0.23809523809523808,0.5740740740740741,0.23880597014925373,,0.05063291139240506,0.4788732394366197,0.21333333333333335,0.5714285714285714,0.5571428571428572,,0.11290322580645161,0.43548387096774194,0.16129032258064516,0.6811594202898551,0.6349206349206349,
