,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,
500000,573,472,478,474,,2401.528795811518,89723.12076271187,19919.805604203153,33276.143356643355,,0.8167539267015707,1,0.8371278458844134,0.8286713286713286,,NaN,NaN,NaN,0.4895833333333333,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
550000,523,471,477,480,,2611.2580645161293,101728.5583864119,21556.311663479923,29192.422348484848,,0.8766603415559773,1,0.9120458891013384,0.9090909090909091,,NaN,NaN,NaN,0.7377049180327869,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
600000,466,474,475,467,,2822.967741935484,112373.4029535865,23369.334024896267,24221.892177589853,,0.9591397849462365,1,0.9854771784232366,0.9873150105708245,,NaN,NaN,NaN,0.9586206896551724,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
650000,404,475,484,475,,2927.2364532019706,120180.38315789474,20979.836776859505,28925.09052631579,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
700000,343,471,446,459,,2974.4479768786127,124832.66878980891,10110.412663755458,14863.07249466951,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
750000,284,470,284,284,,2957.702422145329,124248.87446808511,2969.5664335664337,2963.262237762238,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
800000,233,472,233,233,,2966.2489451476795,114608.81144067796,2952.782978723404,2943.9451476793247,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
850000,193,470,193,193,,2927.773195876289,89558.32978723405,2981.4358974358975,2925.6649484536083,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
900000,165,412,165,165,,2909.3192771084337,37627.82325581396,2966.4337349397592,2975.6467065868264,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
950000,151,151,151,151,,2999.774834437086,2921.9934640522874,2956.9276315789475,2943.782894736842,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1000000,154,154,154,154,,2936.1032258064515,2946.751633986928,2990.581699346405,2993.9220779220777,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
