,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,
,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,
1650000,7400.5,3551.3826530612246,2,2952.4950495049507,,1,1,0.48,0.5594059405940595,,,NaN,,0.4578313253012048,,,NaN,,0.625,,,NaN,,0.6349206349206349,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9821428571427,,NaN,NaN,NaN,3504.936507936508,
1700000,7133.348258706467,3657.788944723618,2,3019.5,,1,1,0.52,0.55,,,NaN,,0.5714285714285714,,,NaN,,0.5849056603773585,,,NaN,,0.5064935064935064,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9811320754716,,NaN,NaN,NaN,3504.9220779220777,
1750000,6818.3564356435645,3433.463768115942,2,3022.2020202020203,,1,1,0.47,0.5252525252525253,,,NaN,,0.5230769230769231,,,NaN,,0.48333333333333334,,,NaN,,0.5616438356164384,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.983333333333,,NaN,NaN,NaN,3504.958904109589,
1800000,6301.549019607844,3016.91,2,3042.2010050251256,,1,1,0.565,0.542713567839196,,,NaN,,0.5263157894736842,,,NaN,,0.463768115942029,,,NaN,,0.6301369863013698,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.985507246377,,NaN,NaN,NaN,3504.958904109589,
1850000,5799.024875621891,3027.964467005076,2,2992.049751243781,,1,1,0.52,0.5024875621890548,,,NaN,,0.5733333333333334,,,NaN,,0.38181818181818183,,,NaN,,0.5211267605633803,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9295774647885,
1900000,5116.3712871287125,2303.2626262626263,2,3002,,1,1,0.535,0.5323383084577115,,,NaN,,0.6065573770491803,,,NaN,,0.5443037974683544,,,NaN,,0.4426229508196721,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.987341772152,,NaN,NaN,NaN,3504.9508196721313,
1950000,4534.693069306931,2170.5748792270533,2,2997,,1,1,0.515,0.54,,,NaN,,0.4927536231884058,,,NaN,,0.5625,,,NaN,,0.5671641791044776,,NaN,NaN,NaN,2504.985507246377,,NaN,NaN,NaN,3004.96875,,NaN,NaN,NaN,3504.865671641791,
2000000,3906.970297029703,2003.527918781726,2,2996.949494949495,,1,1,0.49,0.4393939393939394,,,NaN,,0.3382352941176471,,,NaN,,0.46875,,,NaN,,0.5151515151515151,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9242424242425,
2050000,3332.2178217821784,1538.0980392156862,2,3011.90099009901,,1,1,0.56,0.693069306930693,,,NaN,,0.48484848484848486,,,NaN,,0.6515151515151515,,,NaN,,0.9285714285714286,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9545454545455,,NaN,NaN,NaN,3504.8,
2100000,2978.626865671642,1369.6281407035176,2,3004.5,,1,1,0.5,0.755,,,NaN,,0.5373134328358209,,,NaN,,0.7538461538461538,,,NaN,,0.9705882352941176,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9846153846156,,NaN,NaN,NaN,3504.8970588235293,
2150000,2668.039408866995,1270.91,2,3022.100502512563,,1,1,0.495,0.8542713567839196,,,NaN,,0.6666666666666666,,,NaN,,0.8923076923076924,,,NaN,,0.9859154929577465,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9692307692308,,NaN,NaN,NaN,3504.8732394366198,
2200000,2441.313432835821,1084.4455445544554,2,3046.5544554455446,,1,1,0.57,0.9257425742574258,,,NaN,,0.7543859649122807,,,NaN,,0.9857142857142858,,,NaN,,1,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9714285714285,,NaN,NaN,NaN,3504.8533333333335,
2250000,2524.7020202020203,1030.165,2,3014.5628140703516,,1,1,0.555,0.9045226130653267,,,NaN,,0.746031746031746,,,NaN,,0.9558823529411765,,,NaN,,1,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8823529411766,
2300000,2575,1003.5454545454545,2,3002,,1,1,0.535,0.8557213930348259,,,NaN,,0.6857142857142857,,,NaN,,0.9016393442622951,,,NaN,,0.9857142857142858,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.967213114754,,NaN,NaN,NaN,3504.8142857142857,
2350000,2929,1461.485,2,2986.6938775510203,,1,1,0.535,0.7551020408163265,,,NaN,,0.5555555555555556,,,NaN,,0.7631578947368421,,,NaN,,0.9649122807017544,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9868421052633,,NaN,NaN,NaN,3504.8070175438597,
2400000,3283.591836734694,1616.7673267326732,2,3019.156862745098,,1,1,0.49,0.6421568627450981,,,NaN,,0.5833333333333334,,,NaN,,0.5324675324675324,,,NaN,,0.8208955223880597,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.865671641791,
2450000,3872.495,1618.0153846153846,2,3009.6142131979695,,1,1,0.58,0.5482233502538071,,,NaN,,0.5538461538461539,,,NaN,,0.453125,,,NaN,,0.6323529411764706,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.926470588235,
2500000,4440.224489795918,2246.949494949495,2,3036.8258706467664,,1,1,0.545,0.48258706467661694,,,NaN,,0.5087719298245614,,,NaN,,0.4520547945205479,,,NaN,,0.49295774647887325,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8732394366198,
2550000,5030.767676767677,2639.7336683417084,2,3007,,1,1,0.485,0.51,,,NaN,,0.5441176470588235,,,NaN,,0.43548387096774194,,,NaN,,0.5428571428571428,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.957142857143,
2600000,5644.816326530612,2705.4378109452737,2,2962.3960396039606,,1,1,0.49,0.5099009900990099,,,NaN,,0.525,,,NaN,,0.5517241379310345,,,NaN,,0.453125,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.90625,
2650000,6225.105527638191,3012.675257731959,2,2991.9497487437184,,1,1,0.49,0.5226130653266332,,,NaN,,0.4852941176470588,,,NaN,,0.5373134328358209,,,NaN,,0.546875,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9850746268658,,NaN,NaN,NaN,3504.96875,
