,loadFromX,loadFromX,loadFromX,loadFromX,,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanLatencyFromZ,meanLatencyFromZ,meanLatencyFromZ,meanLatencyFromZ,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanAvailabilityFromZ,meanAvailabilityFromZ,meanAvailabilityFromZ,meanAvailabilityFromZ,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,
700000,750,750,750,750,,750,480,471,473,,1877.2349799732976,213616.38541666666,15026.266666666666,15808.694259012016,,1875.2189586114819,2915.272916666667,2959.8853503184714,2980.1479915433406,,0.6234979973297731,1,0.628,0.6315086782376502,,0.6234979973297731,1,1,1,
750000,750,750,750,750,,750,475,468,469,,1891.2516644474035,231668.3852631579,15179.234666666667,15122.625333333333,,1889.2356857523303,2934.1431578947368,2989.301282051282,2979.095948827292,,0.6338215712383488,1,0.624,0.6253333333333333,,0.6338215712383488,1,1,1,
800000,750,750,750,750,,750,464,477,475,,1880.0825565912116,250400.2629310345,15173.844827586207,15787.138482023967,,1878.0559254327563,3006.217672413793,2967.329140461216,2947.720588235294,,0.6284953395472703,1,0.6326259946949602,0.6338215712383488,,0.6284953395472703,1,1,1,
850000,750,750,750,750,,750,476,473,472,,1878.3173333333334,268893.8802521008,15216.355227882037,14204.271637816246,,1876.2906666666668,2948.3634453781515,2944.6279069767443,2967.9341825902334,,0.6213333333333333,1,0.6340482573726541,0.6271637816245007,,0.6213333333333333,1,1,1,
900000,750,750,750,750,,750,473,472,471,,1895.432,287181.15644820296,15133.27851458886,15872.605614973261,,1893.4133333333334,2952.245243128964,2977.561440677966,2943.7537154989386,,0.628,1,0.6259946949602122,0.6296791443850267,,0.628,1,1,1,
950000,750,750,750,750,,750,473,472,471,,1885.7863818424566,305793.42917547567,15093.722520107238,14183.552,,1883.7797062750333,2979.097251585624,2930.3177966101694,2987.265392781316,,0.6221628838451269,1,0.6327077747989276,0.628,,0.6221628838451269,1,1,1,
1000000,750,750,750,750,,750,477,474,469,,1873.328437917223,323912.7714884696,15143.886666666667,16459.568,,1871.3084112149534,2912.4297693920334,2951.915611814346,2986.7889125799575,,0.6261682242990654,1,0.632,0.6253333333333333,,0.6261682242990654,1,1,1,
1050000,750,750,750,750,,750,481,480,480,,1882.5458167330678,342099.1288981289,15286.328,14065.531208499337,,1880.5179282868526,2910.6819126819128,2944.858333333333,2921.31875,,0.6228419654714475,1,0.64,0.6374501992031872,,0.6228419654714475,1,1,1,
1100000,750,750,750,750,,750,473,472,466,,1878.0775401069518,360432.32980972517,15070.69588313413,15165.082998661312,,1876.0601604278074,2974.866807610994,2965.061440677966,2990.9656652360513,,0.6243315508021391,1,0.6268260292164675,0.6238286479250335,,0.6243315508021391,1,1,1,
1150000,750,750,750,750,,750,471,471,479,,1887.576,378970.3609341826,15089.074468085106,14877.8362183755,,1885.5533333333333,2957.331210191083,2986.6263269639066,2955.39248434238,,0.628,1,0.6263297872340425,0.6378162450066578,,0.628,1,1,1,
