tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1519000,0,14,1515909,24097.090909090908,1,1,11,300
1520000,0,12,1516887.2727272727,32149.454545454544,0.8181818181818182,0.8181818181818182,11,300
1521000,0,12,1517986.6,31035.5,0.9,0.9,10,300
1522000,0,10,1518921,33332,0.75,0.75,4,300
1523000,0,5,1519863.6,31107,0.8,0.8,5,300
1524000,0,10,1520728.5714285714,24975.714285714286,1,1,7,300
1525000,0,9,1521984.2,30844.8,0.8,0.8,5,300
1526000,0,8,1523121,33041.666666666664,0.6666666666666666,0.6666666666666666,6,300
1527000,0,8,1524034.1666666667,33296.666666666664,0.6666666666666666,0.6666666666666666,6,300
1528000,0,7,1525137.6,31068.2,0.8,0.8,5,300
1529000,0,9,1525747.857142857,25165.428571428572,1,1,7,300
1530000,0,9,1526727.25,27561.125,1,1,8,300
1531000,0,9,1527941,25868,0.8333333333333334,0.8333333333333334,6,300
1532000,0,11,1528851.125,29919.375,0.875,0.875,8,300
1533000,0,10,1529836.3,28684.9,1,1,10,300
1534000,0,8,1530898.5,29644.333333333332,0.8333333333333334,0.8333333333333334,6,300
1535000,0,12,1531765.75,30337.75,0.875,0.875,8,300
1536000,0,9,1532840.4,26612.8,1,1,5,300
1537000,0,12,1533770.5,31047,1,1,10,300
1538000,0,12,1534816.2,28689.2,0.8,0.8,10,300
1539000,0,9,1535749,26830.222222222223,1,1,9,300
1540000,0,15,1536710.9090909092,28175,1,1,11,300
1541000,0,12,1537919.25,27716.875,0.875,0.875,8,300
1542000,0,14,1538871.9090909092,26111.454545454544,1,1,11,300
1543000,0,10,1539774.625,27585.75,0.875,0.875,8,300
1544000,0,11,1540747.7,33138.2,0.9,0.9,10,300
1545000,0,6,1541686.3333333333,29588.666666666668,0.6666666666666666,0.6666666666666666,3,300
1546000,0,11,1542781.125,30363.125,0.875,0.875,8,300
1547000,0,6,1543888.5,33230.25,0.75,0.75,4,300
1548000,0,8,1544733.4285714286,31686.285714285714,0.8571428571428571,0.8571428571428571,7,300
1549000,0,9,1545864.75,27738.75,0.875,0.875,8,300
