tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1585000,0,10,1580870.3,22061.8,0.6,0.6,10,300
1586000,0,4,1582032.8,22211.4,0.6,0.6,5,300
1587000,0,8,1582880.142857143,22026.85714285714,0.5714285714285714,0.5714285714285714,7,300
1588000,0,11,1584005.4545454546,22062.454545454544,0.7272727272727273,0.7272727272727273,11,300
1589000,0,8,1584857.625,22187.5,0.5,0.5,8,300
1590000,0,9,1585964.6666666667,22044,0.8888888888888888,0.8888888888888888,9,300
1591000,0,5,1586822,21948,0.4,0.4,5,300
1592000,0,11,1588028.5454545454,22181.090909090908,0.6363636363636364,0.6363636363636364,11,300
1593000,0,10,1588837.9,22065.3,0.5,0.5,10,300
1594000,0,14,1589959.2,22016.066666666666,0.6,0.6,15,300
1595000,0,13,1590906.6666666667,21966.25,0.5833333333333334,0.5833333333333334,12,300
1596000,0,13,1591877.923076923,22216.615384615383,0.7692307692307693,0.7692307692307693,13,300
1597000,0,9,1592968.2222222222,21773.777777777777,0.7777777777777778,0.7777777777777778,9,300
1598000,0,13,1593866.923076923,21990.46153846154,0.9230769230769231,0.9230769230769231,13,300
1599000,0,11,1595033.4545454546,21989.18181818182,0.7272727272727273,0.7272727272727273,11,300
1600000,0,9,1596056.6666666667,22074.333333333332,0.5555555555555556,0.5555555555555556,9,300
1601000,0,10,1596745.9,22060.4,0.7,0.7,10,300
1602000,0,8,1597877.7777777778,22039.555555555555,0.7777777777777778,0.7777777777777778,9,300
1603000,0,10,1598939.3333333333,22040.777777777777,1,1,9,300
1604000,0,11,1599936.3636363635,21974,0.6363636363636364,0.6363636363636364,11,300
1605000,0,11,1600992.4545454546,22064.363636363636,0.9090909090909091,0.9090909090909091,11,300
1606000,0,10,1601968,22196.8,0.9,0.9,10,300
1607000,0,10,1602776.8,22160.1,0.5,0.5,10,300
1608000,0,7,1603885.7142857143,21827,0.42857142857142855,0.42857142857142855,7,300
1609000,0,9,1604970.888888889,22025.777777777777,0.5555555555555556,0.5555555555555556,9,300
1610000,0,8,1605969.375,22042.875,0.875,0.875,8,300
1611000,0,7,1606735,22190.85714285714,0.8571428571428571,0.8571428571428571,7,300
1612000,0,9,1607872,22187.333333333332,0.8888888888888888,0.8888888888888888,9,300
1613000,0,8,1608898.875,22040.25,0.625,0.625,8,300
1614000,0,9,1609918.4444444445,21898.88888888889,0.6666666666666666,0.6666666666666666,9,300
1615000,0,10,1610827.8333333333,22066.5,1,1,12,300
1616000,0,12,1612022.7272727273,22186.727272727272,0.7272727272727273,0.7272727272727273,11,300
1617000,0,13,1612855.1538461538,22182.46153846154,0.6153846153846154,0.6153846153846154,13,300
1618000,0,14,1613827.076923077,22075.30769230769,0.6153846153846154,0.6153846153846154,13,300
1619000,0,12,1614845,22000.333333333332,0.75,0.75,12,300
1620000,0,14,1615945.5714285714,21743.35714285714,0.7857142857142857,0.7857142857142857,14,300
1621000,0,7,1616847.125,22021.5,0.75,0.75,8,300
1622000,0,11,1617837.9,22082.9,1,1,10,300
1623000,0,9,1618805,22182.444444444445,0.6666666666666666,0.6666666666666666,9,300
1624000,0,9,1619797.3333333333,22049.777777777777,0.5555555555555556,0.5555555555555556,9,300
1625000,0,9,1620953.111111111,22058.666666666668,0.6666666666666666,0.6666666666666666,9,300
1626000,0,12,1621939.1666666667,22012.666666666668,0.6666666666666666,0.6666666666666666,12,300
1627000,0,10,1622839.2,22064.4,0.6,0.6,10,300
1628000,0,8,1623905.111111111,22196.88888888889,0.8888888888888888,0.8888888888888888,9,300
1629000,0,12,1624781.6363636365,22189.363636363636,0.45454545454545453,0.45454545454545453,11,300
1630000,0,7,1625806.857142857,22012,0.7142857142857143,0.7142857142857143,7,300
1631000,0,8,1626910.5555555555,22043.222222222223,0.7777777777777778,0.7777777777777778,9,300
1632000,0,8,1627853,22175.875,0.625,0.625,8,300
1633000,0,9,1628808.375,22163.875,0.875,0.875,8,300
1634000,0,9,1629970.888888889,22031.222222222223,0.7777777777777778,0.7777777777777778,9,300
1635000,0,6,1630758,22190.166666666668,0.8333333333333334,0.8333333333333334,6,300
1636000,0,10,1631891.8,22061.8,0.7,0.7,10,300
1637000,0,13,1632804.2307692308,22084.46153846154,0.6153846153846154,0.6153846153846154,13,300
1638000,0,8,1633880.75,21996.625,0.625,0.625,8,300
1639000,0,16,1634730.375,21954.5,0.5625,0.5625,16,300
1640000,0,12,1635760.5833333333,22167.166666666668,0.75,0.75,12,300
1641000,0,11,1636857.7272727273,22092,0.7272727272727273,0.7272727272727273,11,300
1642000,0,11,1637832.8333333333,22197.666666666668,0.8333333333333334,0.8333333333333334,12,300
1643000,0,12,1638730.0909090908,22091.090909090908,0.8181818181818182,0.8181818181818182,11,300
1644000,0,10,1639744.6,22081.4,0.5,0.5,10,300
1645000,0,10,1640719,22042.9,0.8,0.8,10,300
1646000,0,8,1641802.875,22166.375,0.75,0.75,8,300
1647000,0,7,1642754.142857143,21958.571428571428,0.7142857142857143,0.7142857142857143,7,300
1648000,0,12,1643719.6923076923,21996.76923076923,0.6923076923076923,0.6923076923076923,13,300
1649000,0,10,1644595.5555555555,22187.222222222223,0.8888888888888888,0.8888888888888888,9,300
1650000,0,8,1645735.888888889,22202.555555555555,0.8888888888888888,0.8888888888888888,9,300
1651000,0,13,1646735.0833333333,22200.416666666668,0.8333333333333334,0.8333333333333334,12,300
1652000,0,10,1647875.4,21952.3,0.8,0.8,10,300
1653000,0,8,1648760.625,22015.125,0.875,0.875,8,300
1654000,0,6,1649723,22143.5,0.5,0.5,6,300
1655000,0,9,1650800.7,22062,0.5,0.5,10,300
1656000,0,7,1651844.1666666667,22170.5,0.6666666666666666,0.6666666666666666,6,300
1657000,0,12,1652706.1666666667,21790.666666666668,0.5,0.5,12,300
1658000,0,7,1653803.2857142857,21831.14285714286,0.5714285714285714,0.5714285714285714,7,300
1659000,0,12,1654770.75,22087.75,0.6666666666666666,0.6666666666666666,12,300
1660000,0,10,1655767.5,21929.8,0.6,0.6,10,300
1661000,0,13,1656797,22180.85714285714,0.5,0.5,14,300
1662000,0,12,1657760.2727272727,22180.636363636364,0.8181818181818182,0.8181818181818182,11,300
1663000,0,13,1658865.7692307692,21994.69230769231,0.6153846153846154,0.6153846153846154,13,300
1664000,0,12,1659829,22195.666666666668,0.5833333333333334,0.5833333333333334,12,300
1665000,0,11,1660738.4545454546,21971.727272727272,0.6363636363636364,0.6363636363636364,11,300
1666000,0,10,1661698.7,22027.8,0.9,0.9,10,300
1667000,0,9,1662734.6666666667,22173.777777777777,0.7777777777777778,0.7777777777777778,9,300
1668000,0,9,1663684,21886.555555555555,0.5555555555555556,0.5555555555555556,9,300
1669000,0,7,1664781.142857143,22008.85714285714,0.7142857142857143,0.7142857142857143,7,300
1670000,0,11,1665690,22182.090909090908,0.5454545454545454,0.5454545454545454,11,300
1671000,0,14,1666708.0714285714,21921.428571428572,0.7857142857142857,0.7857142857142857,14,300
1672000,0,8,1667657.375,21857.875,0.625,0.625,8,300
1673000,0,9,1668904.7,22178.7,0.8,0.8,10,300
1674000,0,8,1669881.7142857143,22189,0.8571428571428571,0.8571428571428571,7,300
1675000,0,10,1670705.8,22193.1,0.8,0.8,10,300
1676000,0,5,1671612.4,22191.6,0.8,0.8,5,300
1677000,0,12,1672761.6666666667,22079.25,0.5,0.5,12,300
1678000,0,6,1673728.1666666667,21606,1,1,6,300
1679000,0,12,1674606.3333333333,22060.416666666668,0.75,0.75,12,300
1680000,0,7,1675697.857142857,22027.571428571428,0.8571428571428571,0.8571428571428571,7,300
1681000,0,10,1676815.3,22202.2,0.8,0.8,10,300
1682000,0,13,1677712,21960.23076923077,0.6153846153846154,0.6153846153846154,13,300
1683000,0,12,1678834.9166666667,22078.833333333332,0.75,0.75,12,300
1684000,0,12,1679782.6666666667,22091.25,1,1,12,300
1685000,0,10,1680717.8,22035.6,0.5,0.5,10,300
1686000,0,14,1681640.357142857,21936.714285714286,0.7142857142857143,0.7142857142857143,14,300
1687000,0,10,1682598.3,22195,0.7,0.7,10,300
1688000,0,10,1683621.4,22164.2,0.6,0.6,10,300
1689000,0,9,1684698.888888889,22186.11111111111,0.6666666666666666,0.6666666666666666,9,300
1690000,0,10,1685687.8,22225.3,0.8,0.8,10,300
1691000,0,8,1686645.25,21881.375,0.875,0.875,8,300
1692000,0,10,1687623,22073.9,0.6,0.6,10,300
1693000,0,11,1688621.0909090908,22189.363636363636,0.7272727272727273,0.7272727272727273,11,300
1694000,0,12,1689650.3333333333,22202.916666666668,0.9166666666666666,0.9166666666666666,12,300
1695000,0,7,1690871.142857143,21992.714285714286,0.5714285714285714,0.5714285714285714,7,300
1696000,0,8,1691608.25,22195.625,0.625,0.625,8,300
1697000,0,10,1692662.6,22203.5,0.7,0.7,10,300
1698000,0,7,1693554.2857142857,22041.285714285714,0.8571428571428571,0.8571428571428571,7,300
1699000,0,9,1694739.6666666667,22202.666666666668,0.6666666666666666,0.6666666666666666,9,300
1700000,0,9,1695536.5555555555,21892.444444444445,0.6666666666666666,0.6666666666666666,9,300
1701000,0,12,1696620.25,21979.5,0.4166666666666667,0.4166666666666667,12,300
1702000,0,6,1697659,22237.833333333332,0.5,0.5,6,300
1703000,0,10,1698727.6363636365,22087.454545454544,0.8181818181818182,0.8181818181818182,11,300
1704000,0,13,1699717.1666666667,21959,0.5833333333333334,0.5833333333333334,12,300
1705000,0,12,1700764.5833333333,21996.583333333332,0.75,0.75,12,300
1706000,0,13,1701654.857142857,22014.64285714286,0.6428571428571429,0.6428571428571429,14,300
1707000,0,11,1702659.2,21956.5,0.9,0.9,10,300
1708000,0,11,1703597.4545454546,22066.18181818182,0.45454545454545453,0.45454545454545453,11,300
1709000,0,13,1704623.4615384615,22080,0.6923076923076923,0.6923076923076923,13,300
1710000,0,11,1705773,21954.909090909092,0.8181818181818182,0.8181818181818182,11,300
1711000,0,9,1706837.5,21939,1,1,10,300
1712000,0,7,1707730.6666666667,22158.666666666668,0.3333333333333333,0.3333333333333333,6,300
1713000,0,8,1708636.5,22144.5,1,1,8,300
1714000,0,10,1709693.1,22216.1,0.7,0.7,10,300
1715000,0,12,1710714.75,22111.166666666668,0.6666666666666666,0.6666666666666666,12,300
1716000,0,10,1711639.3,22194.5,0.6,0.6,10,300
1717000,0,8,1712700.125,22040.75,0.625,0.625,8,300
1718000,0,7,1713523.142857143,22213.714285714286,0.42857142857142855,0.42857142857142855,7,300
